Precinct	Votes	votes|Danny K. Davis	pct|Danny K. Davis	votes|Anthony V. Clark	pct|Anthony V. Clark
Proviso 69	183	87.56	26	12.44
Proviso 71	98	81.67	22	18.33
Proviso 72	146	55.51	117	44.49
Proviso 73	134	55.37	108	44.63
Proviso 74	165	57.89	120	42.11
Proviso 76	158	55.24	128	44.76
Proviso 79	211	87.55	30	12.45
Proviso 81	137	78.74	37	21.26
Proviso 82	327	89.1	40	10.9
Proviso 83	285	90.48	30	9.52
Proviso 85	63	63	37	37
Proviso 86	243	89.01	30	10.99
Proviso 91	167	84.34	31	15.66
Proviso 92	163	64.68	89	35.32
Proviso 94	185	82.59	39	17.41
Proviso 99	206	84.77	37	15.23
Proviso 101	94	58.39	67	41.61
Proviso 102	105	70	45	30
River Forest 2	117	51.54	110	48.46
River Forest 3	157	55.87	124	44.13
River Forest 4	147	45.79	174	54.21
River Forest 5	119	52.42	108	47.58
River Forest 6	101	48.33	108	51.67
River Forest 7	166	52.2	152	47.8
River Forest 8	187	45.72	222	54.28
Riverside 13	10	50	10	50
