Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
23003	370	182	166	11	11
23004	401	256	121	10	14
23005	357	312	33	6	6
23006	374	293	69	5	7
23007	285	238	35	6	6
23008	417	304	86	14	13
23009	290	243	38	7	2
23010	394	323	55	7	9
23011	357	300	38	8	11
23012	369	187	163	7	12
23013	291	253	32	4	2
23014	346	200	123	12	11
23015	293	249	26	11	7
23016	359	199	137	8	15
23017	236	212	16	5	3
23018	298	170	117	3	8
23019	280	245	24	9	2
23020	206	166	24	11	5
23021	375	177	187	2	9
23022	379	251	106	7	15
23023	363	219	119	9	16
23024	291	239	43	6	3
23025	289	231	47	8	3
23026	355	275	66	6	8
23027	311	147	143	11	10
23028	373	225	121	8	19
23029	310	198	88	8	16
23030	388	307	64	9	8
23031	287	228	42	11	6
23032	334	286	37	7	4
23033	355	293	47	10	5
23034	327	271	41	8	7
23035	264	134	118	2	10
23036	340	190	123	7	20
23037	376	190	165	3	18
23038	334	200	119	7	8
23039	357	301	41	10	5
24001	287	275	5	4	3
24002	301	292	6	0	3
24003	330	313	10	4	3
24004	246	241	5	0	0
24005	178	172	2	4	0
24006	324	311	8	3	2
24007	218	192	18	7	1
24008	162	154	2	3	3
24009	303	280	13	8	2
24010	140	133	3	3	1
24011	366	346	10	4	6
24012	185	171	10	1	3
24013	176	163	4	5	4
24014	301	283	13	3	2
24015	167	159	6	0	2
24016	445	379	43	18	5
24017	255	240	2	5	8
24018	359	349	9	1	0
24019	378	365	9	1	3
24020	267	255	5	3	4
24021	149	144	1	3	1
24022	385	368	7	8	2
24023	259	240	13	3	3
24024	341	329	8	1	3
24025	268	253	8	5	2
24026	443	420	11	9	3
24027	335	322	5	4	4
24028	208	192	7	7	2
24029	250	234	4	7	5
24030	184	178	4	0	2
24031	346	331	6	2	7
24032	172	158	8	3	3
24033	191	181	3	4	3
24034	303	290	8	1	4
24035	298	284	9	2	3
24036	374	344	19	6	5
24037	184	176	3	1	4
24038	265	246	12	5	2
24039	324	300	20	3	1
24040	373	358	9	4	2
24041	223	210	9	4	0
25001	361	320	29	4	8
25002	529	469	31	22	7
