Precinct	total_votes	votes|Karen A. Yarbrough
38018	343	343
38019	376	376
38020	305	305
38021	283	283
38022	324	324
38023	361	361
38024	307	307
38025	298	298
38026	341	341
38027	307	307
38028	359	359
38029	314	314
38030	294	294
38031	335	335
38032	329	329
38033	329	329
38034	354	354
38035	350	350
38036	316	316
38037	326	326
38038	307	307
38039	366	366
38040	347	347
38041	334	334
39001	343	343
39002	284	284
39003	413	413
39004	306	306
39005	376	376
39006	358	358
39007	349	349
39008	387	387
39009	352	352
39010	197	197
39011	337	337
39012	516	516
39013	292	292
39014	396	396
39015	366	366
39016	289	289
39017	393	393
39018	366	366
39019	386	386
39020	402	402
39021	317	317
39022	307	307
39023	349	349
39024	414	414
39025	339	339
39026	311	311
39027	59	59
39028	470	470
39029	234	234
39030	478	478
39031	334	334
39032	289	289
39033	413	413
39034	398	398
39035	384	384
39036	115	115
39037	344	344
39038	211	211
39039	234	234
39040	317	317
39041	358	358
39042	330	330
39043	348	348
39044	260	260
39045	313	313
40001	332	332
40002	373	373
40003	578	578
40004	229	229
40005	463	463
40006	576	576
40007	463	463
40008	607	607
40009	349	349
40010	388	388
40011	471	471
40012	395	395
40013	767	767
40014	345	345
40015	376	376
40016	636	636
40017	361	361
40018	343	343
40019	495	495
40020	436	436
40021	509	509
40022	521	521
40023	570	570
40024	354	354
40025	567	567
40026	519	519
40027	606	606
40028	503	503
40029	393	393
40030	337	337
40031	541	541
40032	539	539
40033	469	469
40034	358	358
40035	291	291
40036	418	418
40037	417	417
40038	583	583
40039	165	165
41001	285	285
41002	280	280
41003	329	329
41004	332	332
41005	396	396
41006	381	381
41007	356	356
41008	307	307
41009	315	315
41010	346	346
41011	346	346
41012	343	343
41013	370	370
41014	374	374
41015	411	411
41016	298	298
41017	340	340
41018	293	293
41019	361	361
41020	223	223
41021	364	364
41022	353	353
41023	312	312
41024	278	278
41025	244	244
41026	331	331
41027	256	256
41028	349	349
41029	239	239
41030	331	331
41031	370	370
41032	269	269
41033	297	297
41034	278	278
41035	373	373
41036	326	326
41037	393	393
41038	308	308
41039	344	344
41040	309	309
41041	314	314
41042	299	299
41043	333	333
41044	296	296
41045	304	304
41046	343	343
41047	335	335
42001	398	398
42002	546	546
42003	520	520
42004	940	940
42005	421	421
42006	443	443
42007	586	586
42008	415	415
42009	596	596
42010	649	649
42011	306	306
42012	406	406
42013	398	398
42014	642	642
42015	521	521
42016	517	517
42017	641	641
42018	550	550
42019	595	595
42020	528	528
42021	550	550
42022	237	237
42023	502	502
42024	485	485
42025	463	463
42026	626	626
42027	346	346
42028	524	524
42029	521	521
42030	384	384
42031	560	560
42032	490	490
42033	583	583
42034	393	393
42035	645	645
42036	835	835
42037	372	372
42038	457	457
42039	696	696
42040	686	686
42041	518	518
42042	838	838
43001	262	262
43002	518	518
43003	464	464
43004	557	557
43005	433	433
43006	382	382
43007	313	313
43008	358	358
43009	482	482
43010	562	562
43011	436	436
43012	350	350
43013	480	480
43014	462	462
43015	469	469
43016	574	574
43017	365	365
43018	559	559
43019	539	539
43020	553	553
43021	527	527
43022	351	351
43023	351	351
43024	367	367
43025	388	388
43026	318	318
43027	471	471
43028	619	619
43029	470	470
43030	531	531
43031	486	486
43032	505	505
43033	455	455
43034	355	355
43035	511	511
43036	288	288
43037	552	552
43038	348	348
43039	464	464
43040	364	364
