Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
16034	137	9	32	62	34
16035	208	27	99	47	35
16036	99	8	21	56	14
17001	212	13	118	51	30
17002	181	18	31	90	42
17003	188	19	46	72	51
17004	252	31	38	126	57
17005	124	14	25	57	28
17006	164	18	51	48	47
17007	163	16	83	41	23
17008	155	7	54	57	37
17009	146	11	33	63	39
17010	255	17	52	144	42
17011	142	22	30	65	25
17012	240	33	115	52	40
17013	127	13	26	51	37
17014	153	11	74	35	33
17015	202	24	42	97	39
17016	186	15	81	51	39
17017	179	10	47	81	41
17018	239	21	38	130	50
17019	111	15	23	49	24
17020	269	16	48	131	74
17021	280	13	48	137	82
17022	155	18	25	70	42
17023	119	7	21	66	25
17024	220	24	34	126	36
17025	147	8	46	68	25
17026	217	20	32	114	51
17027	190	14	38	87	51
17028	153	11	32	61	49
17029	134	9	21	70	34
17030	141	19	63	45	14
17031	114	9	29	47	29
17032	150	9	37	59	45
17033	94	10	16	41	27
17034	112	14	16	56	26
17035	90	15	14	34	27
17036	178	15	49	70	44
17037	185	16	31	83	55
17038	193	17	36	89	51
17039	208	19	44	99	46
17040	225	14	37	111	63
17041	260	19	55	125	61
18001	202	12	66	84	40
18002	186	19	96	46	25
18003	172	5	74	53	40
18004	273	22	50	164	37
18005	136	19	32	62	23
18006	195	16	58	64	57
18007	189	12	40	106	31
18008	243	22	53	125	43
18009	238	20	54	126	38
18010	355	30	55	209	61
18011	180	14	74	61	31
18012	188	11	42	99	36
18013	246	19	56	128	43
18014	249	22	48	139	40
18015	236	20	106	74	36
18016	214	10	44	125	35
18017	234	22	67	119	26
18018	208	17	28	122	41
18019	205	14	34	124	33
18020	169	14	29	91	35
18021	289	21	60	158	50
18022	294	29	55	160	50
18023	209	23	59	88	39
18024	180	14	107	23	36
18025	200	15	96	34	55
18026	308	23	54	179	52
18027	193	10	55	92	36
18028	194	19	60	69	46
18029	245	18	97	97	33
18030	242	19	131	37	55
18031	242	14	76	114	38
18032	254	19	60	138	37
18033	177	17	45	76	39
18034	302	14	41	191	56
18035	291	18	62	153	58
18036	210	16	54	87	53
18037	297	18	63	162	54
18038	218	11	41	126	40
18039	157	11	48	70	28
18040	239	22	104	71	42
18041	300	16	65	173	46
18042	172	15	57	74	26
18043	151	14	83	22	32
18044	195	16	80	47	52
18045	184	10	94	56	24
18046	230	15	119	48	48
18047	151	11	44	71	25
18048	150	17	30	67	36
18049	131	10	25	71	25
18050	149	17	37	70	25
19001	225	27	35	37	126
19002	396	45	90	153	108
19003	175	23	29	23	100
19004	265	42	44	40	139
19005	346	31	69	124	122
19006	232	30	50	29	123
19007	228	39	41	47	101
19008	229	35	28	46	120
19009	193	23	38	28	104
19010	359	42	77	90	150
19011	224	47	22	37	118
19012	201	21	23	38	119
19013	332	24	91	157	60
19014	277	21	90	68	98
19015	259	38	57	48	116
19016	237	33	46	38	120
19017	219	23	52	43	101
19018	310	34	81	76	119
19019	390	43	83	93	171
19020	303	30	87	92	94
19021	201	35	32	41	93
19022	325	40	68	86	131
19023	288	32	46	45	165
19024	182	28	24	31	99
19025	287	32	57	62	136
19026	276	29	53	56	138
19027	266	18	89	92	67
19028	311	24	79	136	72
19029	211	28	44	36	103
19030	217	28	36	42	111
19031	264	28	45	66	125
19032	230	27	41	47	115
19033	249	38	42	39	130
19034	268	28	49	54	137
19035	269	27	42	66	134
19036	355	19	101	144	91
19037	307	34	87	98	88
19038	250	23	68	78	81
19039	92	10	26	38	18
19040	293	22	70	75	126
19041	195	23	41	33	98
19042	233	24	74	69	66
19043	384	22	95	174	93
19044	248	36	42	40	130
19045	256	28	40	34	154
19046	272	24	47	53	148
19047	435	35	124	160	116
19048	312	23	73	139	77
19049	344	19	77	165	83
19050	222	26	47	43	106
19051	295	30	48	63	154
19052	247	25	51	51	120
19053	235	25	56	45	109
19054	179	36	37	27	79
19055	174	25	18	26	105
19056	325	37	80	65	143
19057	283	26	80	88	89
20001	221	21	49	118	33
20002	53	2	12	21	18
20003	181	14	29	108	30
20004	90	11	42	26	11
20005	242	17	52	132	41
20006	84	7	22	41	14
20007	194	24	48	91	31
20008	197	13	25	122	37
20009	348	40	86	184	38
20010	137	14	36	56	31
20011	267	26	62	135	44
20012	154	6	34	88	26
20013	214	21	54	112	27
20014	119	13	35	47	24
20015	183	16	135	15	17
20016	273	51	66	106	50
20017	127	14	56	39	18
20018	129	11	25	65	28
20019	205	14	54	94	43
20020	130	12	86	15	17
20021	139	12	48	64	15
20022	279	31	66	125	57
20023	178	13	41	89	35
20024	254	36	54	107	57
20025	134	12	30	65	27
20026	215	32	41	99	43
20027	102	14	24	52	12
20028	114	9	26	54	25
20029	221	18	56	104	43
20030	95	7	19	49	20
20031	241	23	55	111	52
20032	165	16	42	76	31
20033	137	15	28	66	28
20034	309	71	93	91	54
20035	132	14	36	55	27
20036	55	3	17	29	6
20037	57	3	15	26	13
20038	63	14	9	31	9
20039	13	0	5	5	3
21001	244	12	46	125	61
21002	180	17	50	83	30
21003	257	14	48	152	43
21004	202	13	32	119	38
21005	272	12	42	170	48
21006	207	24	41	115	27
21007	241	17	50	127	47
21008	234	13	50	120	51
21009	258	16	45	143	54
21010	195	17	38	103	37
21011	222	19	49	108	46
21012	202	14	32	111	45
21013	203	18	42	101	42
21014	250	19	41	143	47
21015	205	10	43	113	39
21016	200	8	48	113	31
21017	173	11	31	90	41
21018	260	16	64	118	62
21019	238	18	39	133	48
21020	199	11	30	123	35
21021	184	11	32	114	27
21022	196	15	42	100	39
21023	201	14	35	120	32
21024	254	17	57	129	51
21025	211	14	34	118	45
21026	194	24	33	109	28
21027	221	18	40	128	35
21028	266	16	50	156	44
21029	272	17	47	146	62
21030	170	12	33	103	22
21031	186	10	28	92	56
21032	207	8	44	123	32
21033	213	12	43	112	46
21034	191	13	39	112	27
21035	272	21	51	159	41
21036	232	20	54	111	47
21037	157	10	27	88	32
21038	196	12	50	92	42
21039	180	18	46	78	38
21040	213	7	43	118	45
21041	240	11	39	148	42
21042	272	19	62	136	55
21043	203	12	37	104	50
21044	250	13	45	126	66
21045	185	12	36	110	27
21046	252	16	43	143	50
21047	187	14	42	96	35
21048	209	16	45	95	53
21049	253	18	53	130	52
21050	169	15	36	90	28
21051	238	9	50	144	35
21052	206	14	32	118	42
21053	194	16	36	101	41
21054	197	12	33	114	38
22001	120	6	34	54	26
22002	244	21	132	19	72
22003	272	26	173	22	51
22004	166	9	121	6	30
22005	172	15	118	8	31
22006	199	19	142	19	19
22007	142	12	98	9	23
