Precinct	total_votes	votes|No Candidate
Proviso 70	0	0
Proviso 71	0	0
Proviso 75	0	0
Proviso 77	0	0
Proviso 81	0	0
Proviso 84	0	0
Proviso 85	0	0
Proviso 89	0	0
Proviso 90	0	0
Proviso 91	0	0
Proviso 92	0	0
Proviso 93	0	0
Proviso 95	0	0
Proviso 96	0	0
Proviso 97	0	0
Proviso 101	0	0
Proviso 102	0	0
Rich 1	0	0
Rich 4	0	0
Rich 7	0	0
Rich 9	0	0
Rich 11	0	0
Rich 14	0	0
Rich 16	0	0
Rich 17	0	0
Rich 19	0	0
Rich 20	0	0
Rich 23	0	0
Rich 29	0	0
Rich 31	0	0
Rich 33	0	0
Rich 38	0	0
Rich 43	0	0
Rich 50	0	0
River Forest 1	0	0
River Forest 2	0	0
River Forest 3	0	0
River Forest 4	0	0
River Forest 5	0	0
River Forest 6	0	0
River Forest 7	0	0
River Forest 8	0	0
Riverside 1	0	0
Riverside 2	0	0
Riverside 3	0	0
Riverside 4	0	0
Riverside 5	0	0
Riverside 6	0	0
Riverside 7	0	0
Riverside 8	0	0
Riverside 9	0	0
Riverside 10	0	0
Riverside 11	0	0
Riverside 12	0	0
Riverside 13	0	0
Schaumburg 1	0	0
Schaumburg 2	0	0
Schaumburg 3	0	0
Schaumburg 4	0	0
Schaumburg 5	0	0
Schaumburg 6	0	0
Schaumburg 7	0	0
Schaumburg 8	0	0
Schaumburg 9	0	0
Schaumburg 10	0	0
Schaumburg 11	0	0
Schaumburg 12	0	0
Schaumburg 13	0	0
Schaumburg 14	0	0
Schaumburg 15	0	0
Schaumburg 16	0	0
Schaumburg 17	0	0
Schaumburg 18	0	0
Schaumburg 19	0	0
Schaumburg 20	0	0
Schaumburg 21	0	0
Schaumburg 22	0	0
Schaumburg 23	0	0
Schaumburg 24	0	0
Schaumburg 25	0	0
Schaumburg 26	0	0
Schaumburg 27	0	0
Schaumburg 28	0	0
Schaumburg 29	0	0
Schaumburg 30	0	0
Schaumburg 31	0	0
Schaumburg 32	0	0
Schaumburg 33	0	0
Schaumburg 34	0	0
Schaumburg 35	0	0
Schaumburg 36	0	0
Schaumburg 37	0	0
Schaumburg 38	0	0
Schaumburg 39	0	0
Schaumburg 40	0	0
Schaumburg 41	0	0
Schaumburg 42	0	0
Schaumburg 43	0	0
Schaumburg 44	0	0
Schaumburg 45	0	0
Schaumburg 46	0	0
Schaumburg 47	0	0
Schaumburg 48	0	0
Schaumburg 49	0	0
Schaumburg 50	0	0
Schaumburg 51	0	0
Schaumburg 52	0	0
Schaumburg 53	0	0
Schaumburg 54	0	0
Schaumburg 55	0	0
Schaumburg 56	0	0
Schaumburg 57	0	0
Schaumburg 58	0	0
Schaumburg 59	0	0
Schaumburg 60	0	0
Schaumburg 61	0	0
Schaumburg 62	0	0
Schaumburg 63	0	0
Schaumburg 64	0	0
Schaumburg 65	0	0
Schaumburg 66	0	0
Schaumburg 67	0	0
Schaumburg 68	0	0
Schaumburg 69	0	0
Schaumburg 70	0	0
Schaumburg 71	0	0
Schaumburg 72	0	0
Schaumburg 73	0	0
Schaumburg 74	0	0
Schaumburg 75	0	0
Schaumburg 76	0	0
Schaumburg 77	0	0
Schaumburg 78	0	0
Stickney 5	0	0
Stickney 14	0	0
Thornton 13	0	0
Thornton 16	0	0
Thornton 18	0	0
Thornton 19	0	0
Thornton 24	0	0
Thornton 25	0	0
Thornton 43	0	0
Thornton 47	0	0
Thornton 50	0	0
Thornton 51	0	0
Thornton 57	0	0
Thornton 61	0	0
Thornton 65	0	0
Thornton 67	0	0
Thornton 68	0	0
Thornton 114	0	0
Thornton 117	0	0
Wheeling 1	0	0
Wheeling 2	0	0
Wheeling 3	0	0
Wheeling 4	0	0
Wheeling 5	0	0
Wheeling 6	0	0
Wheeling 7	0	0
Wheeling 8	0	0
Wheeling 9	0	0
Wheeling 10	0	0
Wheeling 11	0	0
Wheeling 12	0	0
Wheeling 13	0	0
Wheeling 14	0	0
Wheeling 15	0	0
Wheeling 16	0	0
Wheeling 17	0	0
Wheeling 18	0	0
Wheeling 19	0	0
Wheeling 20	0	0
Wheeling 21	0	0
Wheeling 22	0	0
Wheeling 23	0	0
Wheeling 24	0	0
Wheeling 25	0	0
Wheeling 26	0	0
Wheeling 27	0	0
Wheeling 28	0	0
Wheeling 29	0	0
Wheeling 30	0	0
Wheeling 31	0	0
Wheeling 32	0	0
Wheeling 33	0	0
Wheeling 34	0	0
Wheeling 35	0	0
Wheeling 36	0	0
Wheeling 37	0	0
Wheeling 38	0	0
Wheeling 39	0	0
Wheeling 40	0	0
Wheeling 41	0	0
Wheeling 42	0	0
Wheeling 43	0	0
Wheeling 44	0	0
Wheeling 45	0	0
Wheeling 46	0	0
Wheeling 47	0	0
Wheeling 48	0	0
Wheeling 49	0	0
Wheeling 50	0	0
Wheeling 51	0	0
Wheeling 52	0	0
Wheeling 53	0	0
Wheeling 54	0	0
Wheeling 55	0	0
Wheeling 56	0	0
Wheeling 57	0	0
Wheeling 58	0	0
Wheeling 59	0	0
Wheeling 60	0	0
Wheeling 61	0	0
Wheeling 62	0	0
Wheeling 63	0	0
Wheeling 64	0	0
Wheeling 65	0	0
Wheeling 66	0	0
Wheeling 67	0	0
Wheeling 68	0	0
Wheeling 69	0	0
Wheeling 70	0	0
Wheeling 71	0	0
Wheeling 72	0	0
Wheeling 73	0	0
Wheeling 74	0	0
Wheeling 75	0	0
Wheeling 76	0	0
Wheeling 77	0	0
Wheeling 78	0	0
Wheeling 79	0	0
Wheeling 80	0	0
Wheeling 81	0	0
Wheeling 82	0	0
Wheeling 83	0	0
Wheeling 84	0	0
Wheeling 85	0	0
Wheeling 86	0	0
Wheeling 87	0	0
Wheeling 88	0	0
Wheeling 89	0	0
Wheeling 90	0	0
Wheeling 91	0	0
Wheeling 92	0	0
Worth 1	0	0
Worth 2	0	0
Worth 3	0	0
Worth 4	0	0
Worth 5	0	0
Worth 6	0	0
Worth 7	0	0
Worth 8	0	0
Worth 9	0	0
Worth 10	0	0
Worth 11	0	0
Worth 12	0	0
Worth 13	0	0
Worth 14	0	0
Worth 15	0	0
Worth 16	0	0
Worth 17	0	0
Worth 18	0	0
Worth 19	0	0
Worth 20	0	0
Worth 21	0	0
Worth 22	0	0
Worth 23	0	0
Worth 24	0	0
Worth 25	0	0
Worth 26	0	0
Worth 27	0	0
Worth 28	0	0
Worth 29	0	0
Worth 30	0	0
Worth 31	0	0
Worth 32	0	0
Worth 33	0	0
Worth 34	0	0
Worth 35	0	0
Worth 36	0	0
Worth 37	0	0
Worth 38	0	0
Worth 39	0	0
Worth 40	0	0
Worth 41	0	0
Worth 42	0	0
Worth 44	0	0
Worth 45	0	0
Worth 46	0	0
Worth 47	0	0
Worth 48	0	0
Worth 49	0	0
Worth 50	0	0
Worth 51	0	0
Worth 52	0	0
Worth 53	0	0
Worth 54	0	0
Worth 55	0	0
Worth 56	0	0
Worth 57	0	0
Worth 58	0	0
Worth 59	0	0
Worth 60	0	0
Worth 61	0	0
Worth 62	0	0
Worth 63	0	0
Worth 64	0	0
Worth 65	0	0
Worth 66	0	0
Worth 67	0	0
Worth 68	0	0
Worth 69	0	0
Worth 70	0	0
Worth 71	0	0
Worth 72	0	0
Worth 73	0	0
Worth 74	0	0
Worth 75	0	0
Worth 76	0	0
Worth 77	0	0
Worth 78	0	0
Worth 79	0	0
Worth 80	0	0
Worth 81	0	0
Worth 82	0	0
Worth 83	0	0
Worth 84	0	0
Worth 85	0	0
Worth 86	0	0
Worth 87	0	0
Worth 88	0	0
Worth 89	0	0
Worth 90	0	0
Worth 91	0	0
Worth 92	0	0
Worth 93	0	0
Worth 94	0	0
Worth 95	0	0
Worth 96	0	0
Worth 97	0	0
Worth 98	0	0
Worth 99	0	0
Worth 100	0	0
