Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
25005	516	56	360	100
25006	148	42	91	15
25007	481	56	330	95
25008	541	32	402	107
25009	526	38	389	99
25010	767	254	424	89
25011	533	52	381	100
25012	464	47	310	107
25013	524	30	404	90
25014	268	59	171	38
25015	430	44	313	73
25016	707	269	351	87
25017	512	56	356	100
25018	267	51	185	31
25019	483	37	343	103
25020	387	9	359	19
25021	862	197	524	141
25022	493	39	356	98
25023	555	41	419	95
25024	508	44	355	109
25025	526	144	289	93
25026	466	40	346	80
25027	699	177	415	107
25028	514	46	368	100
25029	468	34	402	32
25030	474	36	343	95
25031	886	315	471	100
25032	427	59	305	63
26001	403	47	263	93
26002	368	32	280	56
26003	459	81	290	88
26004	296	18	257	21
26005	351	29	264	58
26006	319	28	243	48
26007	377	34	272	71
26008	216	30	157	29
26009	351	25	273	53
26010	361	43	258	60
26011	366	41	269	56
26012	408	30	285	93
26013	230	11	201	18
26014	297	15	240	42
26015	229	24	185	20
26016	242	26	198	18
26017	327	105	161	61
26018	313	27	242	44
26019	289	14	247	28
26020	335	41	245	49
26021	503	42	372	89
26022	251	17	202	32
26023	252	28	186	38
26024	368	25	291	52
26025	339	26	242	71
26026	275	21	210	44
26027	392	34	289	69
26028	505	89	311	105
26029	222	29	144	49
26030	302	22	219	61
26031	186	18	134	34
26032	464	101	285	78
26033	377	38	277	62
26034	426	35	311	80
26035	325	28	239	58
26036	386	62	241	83
26037	422	28	319	75
26038	223	15	190	18
26039	408	54	285	69
26040	263	14	200	49
26041	445	25	349	71
26042	293	33	190	70
26043	245	14	204	27
26044	226	18	191	17
26045	210	18	171	21
26046	285	67	158	60
26047	279	23	227	29
26048	373	62	234	77
26049	215	18	173	24
27001	654	200	364	90
27002	515	109	346	60
27003	289	8	259	22
27004	283	17	231	35
27005	356	17	316	23
27006	466	87	324	55
27007	640	110	414	116
27008	411	14	369	28
27009	259	91	137	31
27010	484	24	417	43
27011	554	176	309	69
27012	350	132	166	52
27013	540	34	456	50
27014	294	8	268	18
27015	348	6	336	6
27016	585	166	325	94
27017	496	34	417	45
27018	363	16	324	23
27019	314	15	282	17
27020	430	9	401	20
27021	504	160	307	37
27022	264	9	242	13
27023	362	4	345	13
27024	387	14	353	20
27025	424	39	337	48
27026	367	16	319	32
27027	608	56	511	41
27028	238	47	156	35
27029	370	10	333	27
27030	250	10	225	15
27031	391	12	346	33
27032	403	33	329	41
27033	481	100	319	62
27034	435	3	420	12
27035	530	159	283	88
27036	366	22	288	56
27037	510	125	345	40
27038	704	137	487	80
27039	319	15	282	22
27040	638	129	418	91
27041	414	20	374	20
27042	328	86	218	24
27043	384	10	335	39
27044	372	5	352	15
27045	909	258	513	138
27046	343	138	170	35
27047	341	33	276	32
27048	746	118	575	53
27049	366	8	338	20
27050	460	11	425	24
28001	383	6	359	18
28002	398	16	344	38
28003	368	8	344	16
28004	349	88	212	49
28005	207	7	180	20
28006	191	32	137	22
28007	482	12	458	12
28008	444	124	263	57
28009	426	13	399	14
28010	526	88	363	75
28011	817	86	615	116
28012	447	10	420	17
28013	399	11	374	14
28014	401	7	377	17
28015	138	4	131	3
28016	305	7	289	9
28017	394	8	372	14
28018	326	14	294	18
28019	369	43	280	46
28020	418	11	379	28
28021	364	12	336	16
28022	370	18	321	31
28023	539	11	505	23
28024	386	8	357	21
28025	520	16	475	29
28026	505	5	481	19
28027	423	114	263	46
28028	476	111	298	67
28029	244	12	215	17
28030	64	0	64	0
28031	542	15	497	30
28032	440	8	413	19
28033	504	9	475	20
28034	802	29	733	40
28035	492	9	463	20
28036	248	3	235	10
28037	577	16	538	23
28038	201	3	190	8
28039	340	8	330	2
28040	543	6	510	27
28041	335	5	318	12
28042	510	9	481	20
28043	542	8	516	18
28044	317	3	304	10
28045	458	123	270	65
28046	733	121	484	128
29001	579	91	415	73
29002	715	14	663	38
29003	572	16	527	29
29004	559	16	510	33
29005	470	12	435	23
29006	436	13	404	19
29007	468	45	379	44
29008	486	11	451	24
29009	523	102	350	71
29010	553	88	407	58
29011	304	6	279	19
29012	578	24	519	35
29013	537	17	493	27
29014	466	5	435	26
29015	572	18	521	33
29016	551	9	521	21
29017	475	9	446	20
29018	512	8	471	33
29019	546	12	503	31
29020	616	15	571	30
29021	664	23	611	30
29022	386	19	332	35
29023	488	111	322	55
29024	468	11	435	22
29025	557	12	516	29
29026	480	34	409	37
29027	430	12	405	13
29028	621	18	562	41
29029	479	151	282	46
29030	537	82	399	56
29031	470	159	263	48
29032	455	149	250	56
29033	320	11	283	26
29034	297	33	237	27
29035	384	7	359	18
29036	417	13	381	23
29037	460	19	417	24
29038	460	101	292	67
29039	431	100	284	47
29040	564	14	521	29
29041	429	9	395	25
29042	544	14	505	25
29043	565	54	450	61
