Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
Wheeling 29	391	217	174
Wheeling 30	921	638	283
Wheeling 31	472	270	202
Wheeling 32	453	303	150
Wheeling 33	428	153	275
Wheeling 34	833	526	307
Wheeling 35	630	380	250
Wheeling 36	942	606	336
Wheeling 37	785	303	482
Wheeling 38	749	397	352
Wheeling 39	693	390	303
Wheeling 40	667	416	251
Wheeling 41	1,037	705	332
Wheeling 42	858	499	359
Wheeling 43	640	336	304
Wheeling 44	805	540	265
Wheeling 45	492	279	213
Wheeling 46	1,074	679	395
Wheeling 47	587	317	270
Wheeling 48	574	342	232
Wheeling 49	799	342	457
Wheeling 50	528	223	305
Wheeling 51	804	477	327
Wheeling 52	532	292	240
Wheeling 53	721	505	216
Wheeling 54	744	518	226
Wheeling 55	635	335	300
Wheeling 56	574	339	235
Wheeling 57	707	490	217
Wheeling 58	535	328	207
Wheeling 59	725	411	314
Wheeling 60	474	269	205
Wheeling 61	783	541	242
Wheeling 62	767	463	304
Wheeling 63	528	256	272
Wheeling 64	906	491	415
Wheeling 65	843	558	285
Wheeling 66	823	463	360
Wheeling 67	381	178	203
Wheeling 68	397	287	110
Wheeling 69	601	355	246
Wheeling 70	885	486	399
Wheeling 71	1,010	644	366
Wheeling 72	651	353	298
Wheeling 73	662	392	270
Wheeling 74	488	235	253
Wheeling 75	678	421	257
Wheeling 76	862	402	460
Wheeling 77	301	111	190
Wheeling 78	981	593	388
Wheeling 79	596	302	294
Wheeling 80	610	241	369
Wheeling 81	522	335	187
Wheeling 82	847	475	372
Wheeling 83	969	633	336
Wheeling 84	879	396	483
Wheeling 85	535	310	225
Wheeling 86	728	482	246
Wheeling 87	633	400	233
Wheeling 88	692	315	377
Wheeling 89	421	216	205
Wheeling 90	638	414	224
Wheeling 91	763	426	337
Wheeling 92	1,047	678	369
Worth 1	349	146	203
Worth 2	708	373	335
Worth 3	618	311	307
Worth 4	897	285	612
Worth 5	695	377	318
Worth 6	717	387	330
Worth 7	650	423	227
Worth 8	689	207	482
Worth 9	707	315	392
Worth 10	724	257	467
Worth 11	657	331	326
Worth 12	417	189	228
Worth 13	687	303	384
Worth 14	594	186	408
