Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
21031	325	6	314	1	4
21032	467	4	452	7	4
21033	475	3	471	0	1
21034	515	8	497	3	7
21035	486	13	471	1	1
21036	499	7	486	2	4
21037	417	5	401	6	5
21038	518	5	503	2	8
21039	415	5	408	0	2
21040	432	6	422	3	1
21041	453	12	433	4	4
21042	519	15	494	4	6
21043	495	8	481	0	6
21044	465	6	446	3	10
21045	435	15	419	1	0
21046	543	7	529	3	4
21047	488	3	480	1	4
21048	452	5	436	2	9
21049	528	4	519	2	3
21050	407	8	393	4	2
21051	453	6	441	3	3
21052	505	3	499	3	0
21053	374	8	361	2	3
21054	420	6	406	3	5
22001	281	4	271	3	3
22002	545	156	369	12	8
22003	665	20	635	3	7
22004	400	15	375	5	5
22005	484	24	450	4	6
22006	464	30	418	5	11
22007	352	16	325	3	8
22008	608	107	482	9	10
22009	437	13	413	5	6
22010	668	32	604	16	16
22011	428	21	387	5	15
22012	416	59	337	10	10
22013	474	24	435	5	10
22014	412	22	378	6	6
22015	410	21	379	2	8
22016	409	24	373	4	8
22017	497	31	456	4	6
22018	462	17	427	6	12
22019	282	3	276	0	3
22020	449	29	404	4	12
22021	549	6	534	4	5
22022	431	26	381	6	18
22023	601	14	575	7	5
22024	557	31	505	8	13
22025	478	20	446	4	8
23001	446	202	214	21	9
23002	459	205	238	10	6
23003	426	223	188	11	4
23004	489	180	286	16	7
23005	479	44	416	8	11
23006	515	82	413	11	9
23007	439	51	369	11	8
23008	534	138	361	9	26
23009	407	41	353	2	11
23010	543	87	437	10	9
23011	527	48	455	8	16
23012	432	217	199	13	3
23013	406	33	365	3	5
23014	397	177	204	9	7
23015	413	43	360	8	2
23016	414	202	201	8	3
23017	345	28	300	10	7
23018	407	176	215	9	7
23019	413	30	368	9	6
23020	337	32	297	7	1
23021	450	218	217	11	4
23022	450	166	266	9	9
23023	438	184	231	13	10
23024	400	48	338	8	6
23025	471	90	363	7	11
23026	463	82	362	9	10
23027	399	189	182	19	9
23028	442	184	243	9	6
23029	365	132	222	9	2
23030	523	69	431	9	14
23031	383	51	318	6	8
23032	455	52	386	9	8
23033	500	51	435	7	7
23034	450	44	389	7	10
23035	364	182	167	9	6
23036	428	197	215	11	5
23037	409	204	195	6	4
