Precinct	total_votes	votes|Yes	votes|No
34027	409	375	34
34028	340	305	35
34029	384	352	32
34030	400	371	29
34031	415	373	42
34032	458	433	25
34033	437	389	48
34034	484	441	43
34035	524	480	44
34036	419	396	23
34037	327	295	32
34038	268	244	24
34039	344	312	32
34040	484	438	46
34041	322	290	32
34042	419	380	39
34043	400	373	27
34044	447	410	37
34045	470	436	34
34046	291	273	18
34047	472	425	47
34048	467	442	25
34049	563	527	36
34050	408	370	38
34051	477	447	30
34052	318	297	21
34053	342	300	42
35001	546	505	41
35002	526	498	28
35003	520	488	32
35004	506	468	38
35005	481	455	26
35006	499	458	41
35007	544	513	31
35008	542	515	27
35009	506	478	28
35010	660	628	32
35011	576	541	35
35012	371	343	28
35013	389	360	29
35014	419	390	29
35015	619	577	42
35016	375	353	22
35017	607	572	35
35018	416	382	34
35019	336	314	22
35020	497	466	31
35021	490	461	29
35022	620	578	42
35023	542	505	37
35024	492	462	30
35025	651	630	21
35026	469	434	35
35027	506	473	33
35028	504	468	36
35029	513	490	23
35030	526	487	39
35031	588	551	37
36001	510	474	36
36002	463	426	37
36003	413	374	39
36004	511	480	31
36005	422	383	39
36006	416	369	47
36007	526	478	48
36008	397	378	19
36009	438	403	35
36010	503	474	29
36011	367	333	34
36012	290	272	18
36013	327	300	27
36014	512	479	33
36015	515	476	39
36016	487	442	45
36017	490	456	34
36018	449	407	42
36019	569	526	43
36020	461	423	38
36021	425	399	26
36022	416	383	33
36023	371	344	27
36024	489	442	47
36025	452	412	40
36026	423	378	45
36027	452	419	33
36028	441	411	30
36029	502	463	39
36030	483	463	20
37001	337	307	30
37002	346	311	35
37003	380	340	40
37004	414	373	41
37005	452	421	31
37006	468	430	38
37007	314	294	20
37008	378	351	27
37009	499	450	49
37010	556	503	53
37011	360	329	31
37012	389	352	37
37013	374	343	31
37014	503	462	41
37015	505	468	37
37016	488	458	30
37017	437	402	35
37018	424	378	46
37019	409	374	35
37020	390	359	31
37021	385	350	35
37022	411	377	34
37023	414	383	31
37024	473	436	37
37025	454	413	41
37026	540	487	53
37027	475	425	50
37028	410	376	34
37029	452	411	41
37030	428	387	41
37031	470	434	36
37032	413	373	40
37033	535	503	32
37034	448	411	37
37035	490	450	40
37036	427	389	38
37037	537	489	48
37038	471	434	37
37039	415	372	43
37040	491	458	33
37041	446	410	36
38001	461	416	45
38002	505	445	60
38003	488	447	41
38004	469	421	48
38005	500	450	50
38006	495	445	50
38007	459	405	54
38008	462	419	43
38009	522	471	51
38010	451	407	44
38011	443	421	22
38012	469	422	47
38013	516	451	65
38014	529	486	43
38015	452	413	39
38016	483	437	46
38017	572	505	67
38018	515	467	48
38019	538	494	44
38020	530	471	59
38021	421	379	42
38022	451	420	31
38023	524	475	49
38024	549	479	70
38025	403	367	36
38026	486	448	38
38027	517	465	52
